date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-02-11,BCAT,BCAT,15.67,"Saba Capital Management, L.P.",1510281,,Sale,104403.0,1635995.01,13068971.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000083/primary_doc.xml
2025-02-06,BCAT,BCAT,15.68,"Saba Capital Management, L.P.",1510281,,Sale,23059.0,361565.12,13276509.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000079/primary_doc.xml
2025-02-07,BCAT,BCAT,15.62,"Saba Capital Management, L.P.",1510281,,Sale,57230.0,893932.6,13219279.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000079/primary_doc.xml
2025-02-05,BCAT,BCAT,15.59,"Saba Capital Management, L.P.",1510281,,Sale,42294.0,659363.46,13299568.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000075/primary_doc.xml
2025-02-03,BCAT,BCAT,15.46,"Saba Capital Management, L.P.",1510281,,Sale,35272.0,545305.12,13366970.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000070/primary_doc.xml
2025-02-04,BCAT,BCAT,15.55,"Saba Capital Management, L.P.",1510281,,Sale,25108.0,390429.4,13341862.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000070/primary_doc.xml
2025-01-31,BCAT,BCAT,,Koesterich Russell Jared,1825197,Other,Exercise or Conversion of Derivative Security,1713.4844,,34713.4844,https://www.sec.gov/Archives/edgar/data/1809541/000095017025013645/ownership.xml
2025-01-31,BCAT,BCAT,15.45,Koesterich Russell Jared,1825197,Other,Disposition to the Issuer (Shares returned to company),1713.4844,26473.33,33000.0,https://www.sec.gov/Archives/edgar/data/1809541/000095017025013645/ownership.xml
2025-01-31,BCAT,BCAT,,Berkowitz Randy William,2028740,Other,Exercise or Conversion of Derivative Security,2376.6015,,2376.6015,https://www.sec.gov/Archives/edgar/data/1809541/000095017025013593/ownership.xml
2025-01-31,BCAT,BCAT,15.45,Berkowitz Randy William,2028740,Other,Disposition to the Issuer (Shares returned to company),2376.6015,36718.49,0.0,https://www.sec.gov/Archives/edgar/data/1809541/000095017025013593/ownership.xml
2025-01-30,BCAT,BCAT,15.58,"Saba Capital Management, L.P.",1510281,,Sale,200.0,3116.0,13604545.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000064/primary_doc.xml
2025-01-31,BCAT,BCAT,15.56,"Saba Capital Management, L.P.",1510281,,Sale,202303.0,3147834.68,13402242.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000064/primary_doc.xml
2025-01-29,BCAT,BCAT,15.54,"Saba Capital Management, L.P.",1510281,,Sale,945.0,14685.3,13604745.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000057/primary_doc.xml
2025-01-27,BCAT,BCAT,15.58,"Saba Capital Management, L.P.",1510281,,Sale,6383.0,99447.14,13605690.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000053/primary_doc.xml
2025-01-22,BCAT,BCAT,15.76,"Saba Capital Management, L.P.",1510281,,Sale,5204.0,82015.04,13612073.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028125000043/primary_doc.xml
2024-12-26,BCAT,BCAT,15.82,"Saba Capital Management, L.P.",1510281,,Sale,89777.0,1420272.14,13617277.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028124000749/primary_doc.xml
2024-12-16,BCAT,BCAT,15.98,"Saba Capital Management, L.P.",1510281,,Sale,20672.0,330338.56,13707054.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028124000725/primary_doc.xml
2024-12-12,BCAT,BCAT,16.37,"Saba Capital Management, L.P.",1510281,,Sale,59608.0,975782.96,13881612.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028124000721/primary_doc.xml
2024-12-13,BCAT,BCAT,16.27,"Saba Capital Management, L.P.",1510281,,Sale,153886.0,2503725.22,13727726.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028124000721/primary_doc.xml
2024-12-05,BCAT,BCAT,16.31,"Saba Capital Management, L.P.",1510281,,Sale,5120.0,83507.2,13941220.0,https://www.sec.gov/Archives/edgar/data/1510281/000151028124000706/primary_doc.xml
