,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Close,High,Low,Open,Volume
41,41,41,41,41,41,2024-11-22,1025.75341796875,1031.1767907067938,1017.8756827486138,1022.3291981325408,713000
42,42,42,42,42,42,2024-11-25,1020.8348388671876,1038.1639726124342,1019.9242988507492,1038.005591564066,1463700
43,43,43,43,43,43,2024-11-26,1015.8765258789062,1027.5941858166786,1007.6820890149148,1021.3890558858196,772700
44,44,44,44,44,44,2024-11-27,1008.919189453125,1023.3188772405176,1007.5237207939098,1018.9148936457613,481900
45,45,45,45,45,45,2024-11-29,1012.2345581054688,1018.6871660307,1010.2750306526308,1010.2750306526308,390000
46,46,46,46,46,46,2024-12-02,1009.5723266601562,1022.97249814724,1002.4071249751676,1015.945864770002,719600
47,47,47,47,47,47,2024-12-03,1028.267333984375,1035.4820683745952,1010.4532704504784,1020.4390089048056,941700
48,48,48,48,48,48,2024-12-04,1024.30859375,1028.6433537907071,1002.0212028927272,1027.2776041666666,1029500
49,49,49,49,49,49,2024-12-05,1039.1077880859375,1051.8680887074934,1022.9460113646116,1024.408001413276,880500
50,50,50,50,50,50,2024-12-06,1037.2081298828125,1047.5118696417649,1032.7126500751738,1038.7497633114988,550300
51,51,51,51,51,51,2024-12-09,1040.6990966796875,1050.087787641241,1037.5860849258834,1044.2695721942007,742600
52,52,52,52,52,52,2024-12-10,1051.3309326171875,1059.0687228033405,1040.2316095808417,1044.1601157917107,645000
53,53,53,53,53,53,2024-12-11,1059.4765625,1076.573177282974,1054.5236190495937,1055.3789354190444,1139700
54,54,54,54,54,54,2024-12-12,1053.0714111328125,1068.218826544393,1045.5126972618582,1062.3905347618552,687100
55,55,55,55,55,55,2024-12-13,1050.803955078125,1055.677255257906,1046.6167291214615,1051.1221643399888,537300
56,56,56,56,56,56,2024-12-16,1058.869873046875,1066.1600336246083,1050.764096389051,1053.6284652752645,897800
57,57,57,57,57,57,2024-12-17,1043.5235595703125,1053.9964193719525,1032.6330577279402,1050.286689663635,990400
58,58,58,58,58,58,2024-12-18,1014.7606201171876,1055.239665613721,1013.4279291801844,1043.523591932143,864900
59,59,59,59,59,59,2024-12-19,1010.8121948242188,1035.22889670908,1009.4396822141337,1034.870865777002,796300
60,60,60,60,60,60,2024-12-20,1023.1050415039062,1031.1412517677416,996.540092636834,1002.1693977084929,2079800
61,61,61,61,61,61,2024-12-23,1034.0552978515625,1035.7063195104415,1017.8040436275306,1020.3203370977808,488100
62,62,62,62,62,62,2024-12-24,1049.1031494140625,1049.1031494140625,1031.0418297883994,1035.9848178854056,276600
63,63,63,63,63,63,2024-12-26,1048.55615234375,1051.748685822776,1039.3265060042877,1039.3265060042877,292100
64,64,64,64,64,64,2024-12-27,1038.510986328125,1049.7097417868652,1034.6122251043034,1042.3101933463745,337100
65,65,65,65,65,65,2024-12-30,1021.8519897460938,1030.4251856831652,1015.9342202982332,1027.202785816823,591700
66,66,66,66,66,66,2024-12-31,1019.5444946289062,1028.5155429904898,1014.0047277906168,1025.213621235902,619400
67,67,67,67,67,67,2025-01-02,1011.8764038085938,1026.4965466934195,1006.5056969543972,1024.407972196669,604500
68,68,68,68,68,68,2025-01-03,1015.2877807617188,1018.4405533683474,1004.5165614277646,1016.6204717104822,469000
69,69,69,69,69,69,2025-01-06,1007.24169921875,1023.8212394279224,1005.9984856237857,1020.0816432216636,616200
70,70,70,70,70,70,2025-01-07,975.435302734375,1006.505685935428,972.9389202236488,1005.5111150995236,970500
