,date,stock_ticker,price,insider_name,relationship,transaction_type,shares,value,shares_total,xml_link
107,2023-10-03,AAPL,172.23,Adams Katherine L.,"Officer (SVP, GC and Secretary)",Sale,32886,5663955.78,423514,https://www.sec.gov/Archives/edgar/data/320193/000032019323000088/wk-form4_1696381345.xml
108,2023-10-03,AAPL,173.24,Adams Katherine L.,"Officer (SVP, GC and Secretary)",Sale,6800,1178032.0,416714,https://www.sec.gov/Archives/edgar/data/320193/000032019323000088/wk-form4_1696381345.xml
112,2023-08-07,AAPL,178.56,O'BRIEN DEIRDRE,Officer (Senior Vice President),Sale,15419,2753216.64,136445,https://www.sec.gov/Archives/edgar/data/320193/000032019323000079/wk-form4_1691533817.xml
115,2023-05-08,AAPL,173.26,KONDO CHRIS,Officer (Principal Accounting Officer),Sale,4092,708979.92,33946,https://www.sec.gov/Archives/edgar/data/320193/000032019323000066/wf-form4_168375780902324.xml
118,2023-04-13,AAPL,165.25,Maestri Luca,"Officer (Senior Vice President, CFO)",Sale,69996,11566839.0,107661,https://www.sec.gov/Archives/edgar/data/320193/000032019323000055/wf-form4_168177065948283.xml
119,2023-04-06,AAPL,164.92,Maestri Luca,"Officer (Senior Vice President, CFO)",Sale,200,32984.0,177657,https://www.sec.gov/Archives/edgar/data/320193/000032019323000053/wf-form4_168116581286812.xml
122,2023-04-04,AAPL,166.11,WILLIAMS JEFFREY E,Officer (COO),Sale,77430,12861897.3,490203,https://www.sec.gov/Archives/edgar/data/320193/000032019323000051/wf-form4_168064766485466.xml
123,2023-04-04,AAPL,166.62,WILLIAMS JEFFREY E,Officer (COO),Sale,387,64481.94,489816,https://www.sec.gov/Archives/edgar/data/320193/000032019323000051/wf-form4_168064766485466.xml
126,2023-04-03,AAPL,164.73,O'BRIEN DEIRDRE,Officer (Senior Vice President),Sale,17664,2909790.72,162402,https://www.sec.gov/Archives/edgar/data/320193/000032019323000050/wf-form4_168064761527635.xml
127,2023-04-03,AAPL,165.87,O'BRIEN DEIRDRE,Officer (Senior Vice President),Sale,25958,4305653.46,136444,https://www.sec.gov/Archives/edgar/data/320193/000032019323000050/wf-form4_168064761527635.xml
