date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-02-24,META,META,686.28,Olivan Javier,1564475,,Sale,608,417258.24,9270,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002502/dp225363_4-olivan.xml
2025-02-21,META,META,700.4656,Zuckerberg Mark,1548760,,Sale,2120,1484987.07,1403,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002363/dp225257_4-zuckerberg0221.xml
2025-02-21,META,META,701.42,Zuckerberg Mark,1548760,,Sale,790,554121.8,613,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002363/dp225257_4-zuckerberg0221.xml
2025-02-21,META,META,702.6593,Zuckerberg Mark,1548760,,Sale,493,346411.03,120,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002363/dp225257_4-zuckerberg0221.xml
2025-02-21,META,META,703.775,Zuckerberg Mark,1548760,,Sale,120,84453.0,0,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002363/dp225257_4-zuckerberg0221.xml
2025-02-20,META,META,700.4072,Zuckerberg Mark,1548760,,Sale,1500,1050610.8,2063,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002362/dp225255_4-zuckerberg0220.xml
2025-02-20,META,META,701.9429,Zuckerberg Mark,1548760,,Sale,843,591737.86,1220,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002362/dp225255_4-zuckerberg0220.xml
2025-02-20,META,META,702.9673,Zuckerberg Mark,1548760,,Sale,677,475908.86,543,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002362/dp225255_4-zuckerberg0220.xml
2025-02-20,META,META,703.8788,Zuckerberg Mark,1548760,,Sale,400,281551.52,143,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002362/dp225255_4-zuckerberg0220.xml
2025-02-20,META,META,705.3528,Zuckerberg Mark,1548760,,Sale,143,100865.45,0,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002362/dp225255_4-zuckerberg0220.xml
