date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-03-03,ABNB,ABNB,142.7335,Chesky Brian,1834152,"Director, Officer (CEO and Chairman), 10% Owner",Sale,11972,1708805.46,11856969,https://www.sec.gov/Archives/edgar/data/1559720/000095017025033579/ownership.xml
2025-03-03,ABNB,ABNB,143.4582,Chesky Brian,1834152,"Director, Officer (CEO and Chairman), 10% Owner",Sale,43246,6203993.32,11813723,https://www.sec.gov/Archives/edgar/data/1559720/000095017025033579/ownership.xml
2025-03-03,ABNB,ABNB,144.2576,Chesky Brian,1834152,"Director, Officer (CEO and Chairman), 10% Owner",Sale,5118,738310.4,11808605,https://www.sec.gov/Archives/edgar/data/1559720/000095017025033579/ownership.xml
2025-02-26,ABNB,ABNB,40.18,Blecharczyk Nathan,1834147,"Director, Officer (Chief Strategy Officer), 10% Owner",Exercise or Conversion of Derivative Security,26154,1050867.72,185491,https://www.sec.gov/Archives/edgar/data/1559720/000095017025030093/ownership.xml
2025-02-26,ABNB,ABNB,145.0,Blecharczyk Nathan,1834147,"Director, Officer (Chief Strategy Officer), 10% Owner",Sale,26154,3792330.0,159337,https://www.sec.gov/Archives/edgar/data/1559720/000095017025030093/ownership.xml
2025-02-25,ABNB,ABNB,140.7548,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,21406,3012997.25,621454,https://www.sec.gov/Archives/edgar/data/1559720/000095017025029226/ownership.xml
2025-02-25,ABNB,ABNB,141.5175,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,103089,14588897.56,518365,https://www.sec.gov/Archives/edgar/data/1559720/000095017025029226/ownership.xml
2025-02-25,ABNB,ABNB,142.3539,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,68002,9680349.91,450363,https://www.sec.gov/Archives/edgar/data/1559720/000095017025029226/ownership.xml
2025-02-25,ABNB,ABNB,143.44,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,17140,2458561.6,433223,https://www.sec.gov/Archives/edgar/data/1559720/000095017025029226/ownership.xml
2025-02-25,ABNB,ABNB,144.4734,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,4438,641172.95,428785,https://www.sec.gov/Archives/edgar/data/1559720/000095017025029226/ownership.xml
