,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Close,High,Low,Open,Volume
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2024-10-21,96.19376373291016,97.02009641625308,95.526713664259,96.77119929092072,8189900
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2024-10-22,96.31322479248048,96.8309350415246,95.7756061165056,95.7756061165056,5344300
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2024-10-23,95.8154296875,96.71146080590836,95.56653257659418,96.50238814423594,5388500
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2024-10-24,94.97914123535156,96.37296660777665,94.8298014462101,96.17384435700892,5015300
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2024-10-25,94.61077117919922,96.4227418925014,94.59086275190458,95.3873289712234,6638100
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2024-10-28,95.7756118774414,96.26345571756488,94.7899813767367,94.7999393886696,8146400
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2024-10-29,95.70591735839844,96.19376118003396,95.25790558298496,95.83534872140828,6834400
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2024-10-30,94.66055297851562,96.28335944034312,94.52117120121692,95.27781296491352,7718200
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2024-10-31,95.7756118774414,96.20371524170508,94.58090870057131,94.84971425685896,8147700
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2024-11-01,95.3873291015625,95.96477223848032,94.41165665230974,95.27781376194922,7944900
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2024-11-04,95.36742401123048,95.5964051142616,94.6107746189912,95.4072484630049,6088000
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2024-11-05,96.2037124633789,96.2435369142228,94.82980309008252,95.17825754029494,6561700
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2024-11-06,98.45374298095705,99.11083501571144,97.7767425189694,97.7767425189694,11325100
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2024-11-07,98.49356842041016,99.08096197640494,97.69709459981196,98.34422862958084,7805100
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2024-11-08,98.58316802978516,98.82211473411552,97.1793922215965,98.29445405459292,7982100
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2024-11-11,100.41505432128906,100.45487877182715,98.5632591478225,98.5632591478225,9137900
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,2024-11-12,100.5444793701172,100.8431589550908,99.06105464841968,100.1064256000899,9366200
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,2024-11-13,102.26685333251952,102.74473156543549,99.90730582081716,100.3453671974381,17701300
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2024-11-14,108.63861846923828,114.303511796905,107.92179354306036,109.8432796273894,47436100
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2024-11-15,114.57232666015624,114.68184200306106,109.76363237138524,109.76363237138524,32048000
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,2024-11-18,113.03911590576172,114.93073551975785,112.39198188048184,112.83004323834588,14236600
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,2024-11-19,111.92405700683594,112.00370590957084,110.33111693082508,111.55569412422751,12166800
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2024-11-20,113.75594329833984,113.86545864019162,110.97825049232502,111.76476631301632,9319300
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2024-11-21,114.2139129638672,115.73716214059314,113.32783981406271,113.64642782752344,10261000
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2024-11-22,115.13980865478516,115.82675953744508,113.0988492427068,113.34774636146086,10098000
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,2024-11-25,115.48826599121094,116.06570914414398,114.42298660012152,115.16967797506469,10397800
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2024-11-26,114.94068908691406,115.90641114555342,114.93073867086233,115.48826579925723,6808100
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,2024-11-27,117.08120727539062,117.6785588623377,114.9406904594042,114.9406904594042,8142400
