date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-03-11,RCG,RCG,2.56,STAHL MURRAY,1207097,,Purchase,356,911.36,64334,https://www.sec.gov/Archives/edgar/data/919567/000143774925007173/rdgdoc.xml
2025-03-11,RCG,RCG,2.56,STAHL MURRAY,1207097,,Purchase,12,30.72,1482,https://www.sec.gov/Archives/edgar/data/919567/000143774925007173/rdgdoc.xml
2025-03-11,RCG,RCG,2.56,STAHL MURRAY,1207097,,Purchase,180,460.8,89688,https://www.sec.gov/Archives/edgar/data/919567/000143774925007173/rdgdoc.xml
2025-03-11,RCG,RCG,2.56,STAHL MURRAY,1207097,,Purchase,180,460.8,274940,https://www.sec.gov/Archives/edgar/data/919567/000143774925007173/rdgdoc.xml
2025-03-11,RCG,RCG,2.56,STAHL MURRAY,1207097,,Purchase,274,701.44,289900,https://www.sec.gov/Archives/edgar/data/919567/000143774925007173/rdgdoc.xml
2025-03-11,RCG,RCG,2.56,STAHL MURRAY,1207097,,Purchase,18,46.08,7176,https://www.sec.gov/Archives/edgar/data/919567/000143774925007173/rdgdoc.xml
2025-03-11,RCG,RCG,2.56,STAHL MURRAY,1207097,,Purchase,254,650.24,35516,https://www.sec.gov/Archives/edgar/data/919567/000143774925007173/rdgdoc.xml
2025-03-10,RCG,RCG,2.64,STAHL MURRAY,1207097,,Purchase,356,939.84,63978,https://www.sec.gov/Archives/edgar/data/919567/000143774925007006/rdgdoc.xml
2025-03-10,RCG,RCG,2.64,STAHL MURRAY,1207097,,Purchase,12,31.68,1470,https://www.sec.gov/Archives/edgar/data/919567/000143774925007006/rdgdoc.xml
2025-03-10,RCG,RCG,2.64,STAHL MURRAY,1207097,,Purchase,180,475.2,89508,https://www.sec.gov/Archives/edgar/data/919567/000143774925007006/rdgdoc.xml
2025-03-10,RCG,RCG,2.64,STAHL MURRAY,1207097,,Purchase,180,475.2,274760,https://www.sec.gov/Archives/edgar/data/919567/000143774925007006/rdgdoc.xml
2025-03-10,RCG,RCG,2.64,STAHL MURRAY,1207097,,Purchase,274,723.36,289626,https://www.sec.gov/Archives/edgar/data/919567/000143774925007006/rdgdoc.xml
2025-03-10,RCG,RCG,2.64,STAHL MURRAY,1207097,,Purchase,18,47.52,7158,https://www.sec.gov/Archives/edgar/data/919567/000143774925007006/rdgdoc.xml
2025-03-10,RCG,RCG,2.64,STAHL MURRAY,1207097,,Purchase,254,670.56,35262,https://www.sec.gov/Archives/edgar/data/919567/000143774925007006/rdgdoc.xml
2025-03-07,RCG,RCG,2.57,STAHL MURRAY,1207097,,Purchase,356,914.92,63622,https://www.sec.gov/Archives/edgar/data/919567/000143774925006775/rdgdoc.xml
2025-03-07,RCG,RCG,2.57,STAHL MURRAY,1207097,,Purchase,12,30.84,1458,https://www.sec.gov/Archives/edgar/data/919567/000143774925006775/rdgdoc.xml
2025-03-07,RCG,RCG,2.57,STAHL MURRAY,1207097,,Purchase,180,462.6,89328,https://www.sec.gov/Archives/edgar/data/919567/000143774925006775/rdgdoc.xml
2025-03-07,RCG,RCG,2.57,STAHL MURRAY,1207097,,Purchase,180,462.6,274580,https://www.sec.gov/Archives/edgar/data/919567/000143774925006775/rdgdoc.xml
2025-03-07,RCG,RCG,2.57,STAHL MURRAY,1207097,,Purchase,274,704.18,289352,https://www.sec.gov/Archives/edgar/data/919567/000143774925006775/rdgdoc.xml
